;dominio;jornal;main;to_collect
117;praias.publico.pt;Publico;FALSE;FALSE
118;promocoes.publico.pt;Publico;FALSE;FALSE
119;s.publico.pt;Publico;FALSE;FALSE
120;sa.publico.pt;Publico;FALSE;FALSE
121;secure.publico.clix.pt;Publico;FALSE;FALSE
122;sequeira.publico.pt;Publico;FALSE;FALSE
123;static.publico.clix.pt;Publico;FALSE;FALSE
124;static.publico.pt;Publico;FALSE;FALSE
125;stream.publico.pt;Publico;FALSE;FALSE
126;tempo.publico.clix.pt;Publico;FALSE;FALSE
127;tempo.publico.pt;Publico;FALSE;FALSE
128;tracker.publico.pt;Publico;FALSE;FALSE
129;trofeu.publico.pt;Publico;FALSE;FALSE
130;tv.publico.clix.pt;Publico;FALSE;FALSE
131;ultimahora.publico.clix.pt;Publico;FALSE;FALSE
132;ultimahora.publico.pt;Publico;FALSE;FALSE
133;ultraleve.publico.pt;Publico;FALSE;FALSE
134;uol.publico.pt;Publico;FALSE;FALSE
135;viagens.publico.pt;Publico;FALSE;FALSE
136;videos.publico.clix.pt;Publico;FALSE;FALSE
137;videos.publico.pt;Publico;FALSE;FALSE
138;webmail.publico.pt;Publico;FALSE;FALSE
139;ww2.publico.clix.pt;Publico;FALSE;FALSE
140;ww2.publico.pt;Publico;FALSE;FALSE
141;www.expresso.pt;Expresso;TRUE;TRUE
142;expresso.clix.pt;Expresso;FALSE;TRUE
143;aeiou.expresso.pt;Expresso;FALSE;FALSE
144;expresso.sapo.pt;Expresso;FALSE;FALSE
145;expressoemprego.pt;Expresso;FALSE;FALSE
146;online.expresso.clix.pt;Expresso;FALSE;FALSE
147;aeiou.expressoemprego.pt;Expresso;FALSE;FALSE
148;expresso.lda.pt;Expresso;FALSE;FALSE
149;semanal.expresso.clix.pt;Expresso;FALSE;FALSE
150;semanal.expresso.pt;Expresso;FALSE;FALSE
151;classificadoscm.pt;CM;FALSE;TRUE
152;empregocm.pt;CM;FALSE;TRUE
153;casascm.pt;CM;FALSE;TRUE
154;conviviocm.pt;CM;FALSE;TRUE
155;publico.pt/noticia;Publico;FALSE;FALSE
156;publico.clix.pt/noticia;Publico;FALSE;FALSE
157;30segundos.publico.pt/noticia;Publico;FALSE;FALSE
158;a.publico.pt/noticia;Publico;FALSE;FALSE
159;acervo.publico.pt/noticia;Publico;FALSE;FALSE
160;anuncios.publico.pt/noticia;Publico;FALSE;FALSE
161;api.publico.pt/noticia;Publico;FALSE;FALSE
162;arte.publico.pt/noticia;Publico;FALSE;FALSE
163;assinaturas.publico.pt/noticia;Publico;FALSE;FALSE
164;astronomia.publico.pt/noticia;Publico;FALSE;FALSE
165;backoffice.cidades.publico.pt/noticia;Publico;FALSE;FALSE
166;banners.publico.pt/noticia;Publico;FALSE;FALSE
167;bd.publico.pt/noticia;Publico;FALSE;FALSE
168;beta.publico.pt/noticia;Publico;FALSE;FALSE
169;blogs.publico.clix.pt/noticia;Publico;FALSE;FALSE
170;blogs.publico.pt/noticia;Publico;FALSE;FALSE
171;blogues.publico.pt/noticia;Publico;FALSE;FALSE
172;bo.p24.publico.pt/noticia;Publico;FALSE;FALSE
173;bussola.publico.pt/noticia;Publico;FALSE;FALSE
174;cidades.publico.pt/noticia;Publico;FALSE;FALSE
